Sector,Metric,Ranked Avg metric,Unranked Avg metric,Ranked Median metric,Unranked Median metric,Ranked Count,Unranked Count,T-Statistic,T-Test P-Value,MWU P-Value,Normalized By Revenue,T-Test Significant,MWU Significant
Industrials,TotalRevenue,12490202943.173,23816015029.46437,7896531527.0,15898000000.0,40,183,-4.561446821747255,1.2619605227096327e-05,0.003557630339647379,False,True,True
Communication Services,TotalRevenue,29651623235.82143,49219968921.60571,10958334337.5,28616131675.0,28,175,-1.441514441813735,0.1590655179078974,0.00011591738820578518,False,False,True
Utilities,TotalRevenue,9535006276.982609,22872842911.22816,3141601699.0,12013532500.0,23,174,-3.26086232134673,0.0018402716917899303,0.0003069218853627669,False,True,True
Health Care,TotalRevenue,22785038086.225807,55474919369.659836,19730880283.0,27282547479.5,31,244,-5.068642364116483,1.2085403413278497e-06,0.003579919477286471,False,True,True
Consumer Staples,TotalRevenue,18713316475.739285,49107062886.585365,13266023491.0,20094200000.0,28,205,-3.994139196549188,9.399904073819634e-05,0.0009519405830937313,False,True,True
Information Technology,TotalRevenue,37039616696.56579,39170020010.18779,7524435353.0,19093000000.0,76,213,-0.19979877011072,0.8420149350955153,0.0097527706114963,False,False,True
Materials,TotalRevenue,7945111213.5,27709419446.08982,4523758893.5,15741400000.0,24,167,-6.184736794527711,4.094391517192457e-09,9.846230101623469e-07,False,True,True
Financials,TotalRevenue,21703527729.83051,40682935095.777,13584819183.0,30131345554.0,59,287,-4.812238030327396,4.6028784652294245e-06,2.2844373446925595e-05,False,True,True
Energy,TotalRevenue,24271708452.5,80439470622.89032,25050029345.0,30057174561.0,4,155,-6.141428658672469,9.0319720932453e-09,0.6401847736842654,False,True,False
Real Estate,TotalRevenue,4336588175.916667,6011732007.583571,3191555963.0,2659695500.0,12,140,-1.0853695418287492,0.2806521238428927,0.3251610270828028,False,False,False
Consumer Discretionary,NetIncome,-424248907.63013124,90105962.68250577,-470389418.55009264,-313885903.08339095,48,226,-1.07640120692006,0.28345636441237665,0.4346905167633417,True,False,False
Industrials,NetIncome,-427960490.77606916,93543276.67236538,-316998831.19063526,-14093680.7001189,40,183,-2.1872468814863213,0.030058354095282302,0.0004344665256816926,True,True,True
Communication Services,NetIncome,2670404230.617432,-427264676.8987879,2098007707.9501934,906989255.527916,28,175,2.677298604696543,0.010199665426481399,0.01291915389634392,True,True,True
Utilities,NetIncome,-252377284.60943297,33360215.781706702,-184644493.445092,77317280.76167488,23,174,-1.0919817643687142,0.2808774497670128,0.11726960533603568,True,False,False
Health Care,NetIncome,107252869.71808046,-13626389.1854935,-2609017044.0944166,-2007760116.252499,31,244,0.10446975366326922,0.9173386914537832,0.6556418184822379,True,False,False
Consumer Staples,NetIncome,-1082331530.7358453,147830648.1005055,-1862046686.4543211,-1225519697.0031075,28,205,-2.7685151470222107,0.007564956493053143,0.04441917682568833,True,True,True
Information Technology,NetIncome,-1115664495.1290617,398077472.4404141,161797280.9404763,1030011406.4172308,76,213,-2.113557061756677,0.03550311863327181,0.020917059807554674,True,True,True
Materials,NetIncome,-1299911482.8105137,186813626.2721695,-1257678191.3336887,-484857300.8506527,24,167,-4.284342278397655,5.313832679586109e-05,0.000969182836001212,True,True,True
Financials,NetIncome,-349058052.98767364,71757578.83718808,-56909048.14463472,214586711.15974045,59,287,-0.625230222408504,0.5327303299955808,0.5388795970828502,True,False,False
Energy,NetIncome,497519240.2501334,-12839206.20000315,384047909.39937425,2171657910.58606,4,155,0.4574086677002873,0.6513563280146131,0.498777921908204,True,False,False
Real Estate,NetIncome,677075395.2687979,-58035033.880182646,307069820.80260575,-181299197.5162058,12,140,2.066064395470321,0.058665519293980145,0.04988110146258283,True,False,True
Consumer Discretionary,OperatingIncome,-681218286.801263,144683529.94009215,-731405267.8221109,-481640068.79496586,48,226,-1.81754898202527,0.07110959049202858,0.29098610559045934,True,False,False
Industrials,OperatingIncome,-284614803.4914554,62210886.0090617,-347012248.80245364,-89031363.68481398,40,183,-1.250044829662148,0.2132950129593217,0.010209276248580848,True,False,True
Communication Services,OperatingIncome,2548848965.6792417,-407815834.50867695,2425767874.002792,899080164.2995911,28,175,3.698455091295225,0.0004882709327040036,0.002390306814354874,True,True,True
Utilities,OperatingIncome,-133708304.97779919,17674086.290169004,-641566558.4785204,-135198036.29803538,23,174,-0.3318257692487801,0.7409143389844247,0.04009412917048167,True,False,True
Health Care,OperatingIncome,142922234.93801472,-18158152.799502388,-3383965398.3211403,-2373634572.596449,31,244,0.11581360650293354,0.9084384131830592,0.36606742491708577,True,False,False
Consumer Staples,OperatingIncome,-1558710370.7078805,212897026.24302596,-2744102700.3060036,-1399658173.2648501,28,205,-2.7008825065079645,0.009608272036976602,0.010285790484662778,True,True,True
Information Technology,OperatingIncome,-1311467728.7837167,467941537.03080887,359221883.7401949,1164448591.7864146,76,213,-2.25821180732655,0.02477396317093437,0.017320826011454262,True,True,True
Materials,OperatingIncome,-1549235844.2633789,222644672.22946742,-1983134482.7179055,-810027587.6496735,24,167,-4.323047726008386,3.8279584865274e-05,0.000545657691038582,True,True,True
Financials,OperatingIncome,-322003520.6737983,66195845.713427074,102658883.5530858,247120022.36930656,59,287,-0.4595580580488543,0.6464730997982062,0.7337638196965011,True,False,False
Energy,OperatingIncome,438569921.31143796,-11317933.453195486,-39711398.823548794,4354942165.932694,4,155,0.21583846348434207,0.8297750794418957,0.25959181345130367,True,False,False
Real Estate,OperatingIncome,290338442.08264756,-24886152.178512517,-465643876.0463035,-379130851.5476472,12,140,0.6843851339235708,0.501953347520601,0.8589978910341793,True,False,False
Consumer Discretionary,GrossProfit,902232192.7702833,-191624536.51758218,527709445.1924004,1113359813.4490776,48,226,0.8347232825152773,0.4046307142706268,0.550725702405237,True,False,False
Industrials,GrossProfit,46767066.95306997,-10222309.716516672,-139754746.56968617,-111523494.16389275,40,183,0.10989456217806534,0.9127696655582211,0.5240646296174514,True,False,False
Communication Services,GrossProfit,1816791731.6947532,-290686677.0711582,1791834085.9201093,267323056.763371,28,175,2.4346919140341905,0.015942537730372252,0.02743011939581276,True,True,True
Utilities,GrossProfit,-300066518.2614465,39663965.05754679,-1318562334.517437,-926318744.1900339,23,174,-0.44604573147034376,0.6580904814649156,0.2533868144425727,True,False,False
Health Care,GrossProfit,-418883526.34579784,53218808.675080135,-9430157090.839031,-5475142211.93027,31,244,-0.17795741556062014,0.8596185214946842,0.5928943564800777,True,False,False
Consumer Staples,GrossProfit,-2079927267.594399,284087626.79337907,-3961373282.0834765,-2036359032.9176636,28,205,-2.186064468351941,0.032189238682503125,0.020613305503162975,True,True,True
Information Technology,GrossProfit,-1954233200.902953,697285085.7681862,-814080586.0963167,-222742058.4340763,76,213,-2.351959667901047,0.019569013675681417,0.030465372236685835,True,True,True
Materials,GrossProfit,-2516542812.8167844,361658847.3509147,-3343814514.175764,-1634767325.20191,24,167,-3.8902621311095027,0.0001965776424997873,0.0010993539472637915,True,True,True
Financials,GrossProfit,-389879526.5132692,80149449.70133477,473662014.95848083,555034105.0177193,59,287,-0.2533553521253466,0.8003361843427808,0.8649617281322675,True,False,False
Energy,GrossProfit,-992245456.5279925,25606334.362016052,-1738394748.215169,4782757114.036842,4,155,-0.4410672912424889,0.6605620608683478,0.2000753859713269,True,False,False
Real Estate,GrossProfit,174376194.9283191,-14946530.993855858,-680245817.275604,-359053953.8898684,12,140,0.3793710892435028,0.7079323934429949,0.6969334096356796,True,False,False
Consumer Discretionary,DilutedEPS,4.173104166666667,6.61003982300885,1.072,2.8935,48,226,-1.512806485490731,0.1326428610568713,0.020151431369058,False,False,True
Industrials,DilutedEPS,2.160125,5.9029890710382515,1.1955,3.65,40,183,-4.983579318328251,1.6824360878672187e-06,1.8823907607495947e-05,False,True,True
Communication Services,DilutedEPS,1.7051785714285714,3.3520342857142857,0.38949999999999996,2.06,28,175,-2.771277648282249,0.006888718166792602,0.04788337447441603,False,True,True
Utilities,DilutedEPS,1.397391304347826,2.33317816091954,0.705,2.069,23,174,-1.2831065004090247,0.21125272693652125,0.014374062109242365,False,False,True
Health Care,DilutedEPS,2.8625483870967745,6.107934426229508,3.462,4.449,31,244,-3.9067982939449997,0.000161719001062118,0.03991022888994058,False,True,True
Consumer Staples,DilutedEPS,1.9995357142857144,3.7573609756097563,2.245,2.77,28,205,-4.761325326085484,7.914406260459028e-06,0.015409564375201489,False,True,True
Information Technology,DilutedEPS,-21.91275,0.9301126760563381,1.6960000000000002,2.94,76,213,-1.5764769043504394,0.1187211958089701,0.012178330309435857,False,False,True
Materials,DilutedEPS,1.4688333333333334,6.524263473053893,1.7080000000000002,4.47,24,167,-5.620001613561105,3.482546806937938e-07,3.526247889556043e-05,False,True,True
Financials,DilutedEPS,3.598033898305085,5.9948048780487815,1.515,3.064,59,287,-3.183725773904572,0.001711195207705386,0.059433975835262554,False,True,False
Energy,DilutedEPS,2.17375,4.473116129032259,2.3979999999999997,2.689,4,155,-3.745165789962348,0.0016278528711023792,0.5271122048188981,False,True,False
Real Estate,DilutedEPS,1.6068333333333333,2.264435714285714,0.879,1.56,12,140,-0.9204643812881979,0.3698726170241796,0.36347873613262727,False,False,False
Consumer Discretionary,Net Margin per,-0.9058333333333337,-3.173849557522123,5.5649999999999995,6.855,48,226,0.2214662736173308,0.8248969732035173,0.12520064861548427,False,False,False
Industrials,Net Margin per,6.923249999999999,10.309398907103825,6.955,10.24,40,183,-2.043646162795516,0.04603125096510917,0.0005213474753733517,False,True,True
Communication Services,Net Margin per,11.231071428571427,17.116571428571426,9.43,10.59,28,175,-1.92353364386401,0.05588658447953903,0.5419895727651767,False,False,False
Utilities,Net Margin per,11.757826086956522,11.01867816091954,11.36,11.245000000000001,23,174,0.20106055057472244,0.8422548517063566,0.986028203549465,False,False,False
Health Care,Net Margin per,12.281290322580643,8.189426229508197,12.93,11.825,31,244,0.8848656992068822,0.37729820302813255,0.7281096814612056,False,False,False
Consumer Staples,Net Margin per,7.006428571428572,11.02790243902439,6.890000000000001,9.67,28,205,-3.8388414116311163,0.00023173692290927937,0.03319689616885713,False,True,True
Information Technology,Net Margin per,4.97236842105263,15.466572769953052,8.885000000000002,16.03,76,213,-2.7798817102566336,0.0064947676363650165,8.641219491607044e-05,False,True,True
Materials,Net Margin per,7.0275,12.073532934131736,5.285,11.65,24,167,-2.000774534875123,0.05492457633006939,0.02066353116324388,False,False,True
Financials,Net Margin per,26.5435593220339,25.532299651567943,27.29,26.65,59,287,0.2169156012569251,0.8289765741072906,0.4116381520253446,False,False,False
Energy,Net Margin per,6.205,14.010129032258062,6.795,11.43,4,155,-2.9532526579383656,0.04660661180036761,0.08926194105193869,False,True,False
Real Estate,Net Margin per,31.470000000000002,17.85592857142857,34.035000000000004,19.52,12,140,2.0430562439229156,0.05581405614952753,0.11137968644355775,False,False,False
Consumer Discretionary,Operating Margin per,1.2437499999999992,7.526902654867256,7.734999999999999,9.34,48,226,-1.3608757632133086,0.17758753487349482,0.14675861093964288,False,False,False
Industrials,Operating Margin per,9.693499999999998,12.566939890710383,9.34,12.47,40,183,-1.6527113912844476,0.10433492722461216,0.003979447824136402,False,False,True
Communication Services,Operating Margin per,17.455000000000002,16.685485714285715,16.725,16.24,28,175,0.4926082670950061,0.6249344739980129,0.5419887034365274,False,False,False
Utilities,Operating Margin per,24.783478260869565,19.395632183908045,24.73,19.13,23,174,1.998279549277437,0.05551021822910482,0.03459145124556985,False,False,True
Health Care,Operating Margin per,17.344838709677422,13.286352459016394,19.04,17.185000000000002,31,244,0.8424103985586376,0.40089560890357434,0.7809254795203098,False,False,False
Consumer Staples,Operating Margin per,10.018928571428573,17.317560975609755,10.524999999999999,16.19,28,205,-5.278223023669227,1.1846173504026645e-06,0.0017244084794569919,False,True,True
Information Technology,Operating Margin per,9.879342105263158,20.90300469483568,10.8,20.23,76,213,-3.420582824518084,0.0009210029302348825,0.00016963982039891153,False,True,True
Materials,Operating Margin per,11.065416666666666,17.65461077844311,5.08,16.23,24,167,-2.375030719824579,0.024662846793101018,0.005402062788406086,False,True,True
Financials,Operating Margin per,32.62881355932203,29.071010452961676,32.25,32.65,59,287,0.6090631861128945,0.5446271789197079,0.3481420283163513,False,False,False
Energy,Operating Margin per,7.3774999999999995,23.922838709677418,8.2,21.17,4,155,-5.504858843172059,0.004424890846707761,0.011964320075238484,False,True,True
Real Estate,Operating Margin per,23.854166666666668,28.190214285714283,17.84,29.355,12,140,-0.9503887767845982,0.35735432029148995,0.265392796512243,False,False,False
Consumer Discretionary,Gross Margin per,32.041666666666664,36.82911504424779,28.439999999999998,33.305,48,226,-1.1980138233314581,0.23516497211890744,0.13512464540429148,False,False,False
Industrials,Gross Margin per,32.9465,33.32027322404372,35.025,33.19,40,183,-0.12323407590994642,0.9024162299137151,0.8551065047144963,False,False,False
Communication Services,Gross Margin per,65.91142857142857,52.50599999999999,68.13499999999999,54.95,28,175,5.197711568145412,3.485086015062898e-06,0.0002747114590362199,False,True,True
Utilities,Gross Margin per,59.88347826086956,43.57454022988506,54.43,42.83,23,174,2.8998938236434997,0.007566650892984484,0.022238255095509786,False,True,True
Health Care,Gross Margin per,64.82258064516131,56.54922131147542,68.53,68.11,31,244,2.7423539177826344,0.00814241953835152,0.32502490922377625,False,True,False
Consumer Staples,Gross Margin per,38.45964285714286,43.50643902439024,41.025,45.05,28,205,-1.83414790986939,0.07258784576035034,0.21870275842657372,False,False,False
Information Technology,Gross Margin per,40.86,50.614600938967136,41.76,49.35,76,213,-2.58048785282637,0.0112588242850935,0.009223337393615775,False,True,True
Materials,Gross Margin per,34.455000000000005,32.59173652694611,37.129999999999995,29.99,24,167,0.5617199144287383,0.5783895376771495,0.41594285969625866,False,False,False
Financials,Gross Margin per,67.73728813559323,64.11480836236933,63.09,67.0,59,287,0.28460168536244423,0.7769074374133976,0.568536631335655,False,False,False
Energy,Gross Margin per,12.7375,36.76283870967742,13.120000000000001,33.43,4,155,-7.949676685034546,0.00022570273370393546,0.00740245489600382,False,True,True
Real Estate,Gross Margin per,51.5275,58.53257142857142,45.495000000000005,62.45,12,140,-1.4433141101472506,0.1699237415642638,0.14746704339952144,False,False,False
