Sector,Metric,Ranked Avg metric,Unranked Avg metric,Ranked Median metric,Unranked Median metric,Ranked Count,Unranked Count,T-Statistic,T-Test P-Value,MWU P-Value,T-Test Significant,MWU Significant
Financials,fullTimeEmployees,59465.96031746032,91742.40483383686,39976.0,50316.0,126,662,-5.2702017967839705,2.6886275384281125e-07,0.0014471035445055647,True,True
Financials,TotalRevenue,21703527729.83051,40682935095.777,13584819183.0,30131345554.0,59,287,-4.812238030327396,4.6028784652294245e-06,2.2844373446925595e-05,True,True
Financials,NetIncome,4605927823.338983,8804414642.931358,3571760056.0,5674000000.0,59,287,-4.691890563529266,5.270195716265521e-06,0.00024951782463118657,True,True
Financials,OperatingIncome,5744283614.845763,10900448446.27526,4464700070.0,7092500000.0,59,287,-4.590324505109128,8.147575356093211e-06,0.0004483733240899418,True,True
Financials,GrossProfit,12586239088.881355,23636133648.48432,9866987155.0,15409225000.0,59,287,-4.45055432679181,1.488628252096728e-05,0.0006332660381856648,True,True
Financials,DilutedEPS,3.598033898305085,5.9948048780487815,1.515,3.064,59,287,-3.183725773904572,0.001711195207705386,0.059433975835262554,True,False
Financials,GrossProfitIncr per,16.927727272727278,-0.6609767441860468,9.02,2.7,44,215,1.3522825791745259,0.18101079158195016,0.025687030235484264,False,True
Financials,OperatingIncomeIncr per,16.95818181818182,-0.44051162790697745,9.18,2.7,44,215,1.3363879267394847,0.18611954961219254,0.027729551594344717,False,True
Health Care,TotalRevenue,22785038086.225807,55474919369.659836,19730880283.0,27282547479.5,31,244,-5.068642364116483,1.2085403413278497e-06,0.003579919477286471,True,True
Health Care,DilutedEPS,2.8625483870967745,6.107934426229508,3.462,4.449,31,244,-3.9067982939449997,0.000161719001062118,0.03991022888994058,True,True
Health Care,fullTimeEmployees,51322.213483146064,64380.44901610018,53000.0,47922.0,89,559,-2.788590191828905,0.005779779312548007,0.6237419770572972,True,False
Health Care,Gross Margin per,64.82258064516131,56.54922131147542,68.53,68.11,31,244,2.7423539177826344,0.00814241953835152,0.32502490922377625,True,False
Health Care,OperatingIncome,5366400958.725806,6553851793.826066,1065435628.0,3754034544.0,31,244,-0.7694256433105929,0.4466383656284355,0.03592034177880306,False,True
Industrials,DilutedEPS,2.160125,5.9029890710382515,1.1955,3.65,40,183,-4.983579318328251,1.6824360878672187e-06,1.8823907607495947e-05,True,True
Industrials,TotalRevenue,12490202943.173,23816015029.46437,7896531527.0,15898000000.0,40,183,-4.561446821747255,1.2619605227096327e-05,0.003557630339647379,True,True
Industrials,NetIncome,779845040.6820725,2128133417.9776404,377542150.5,1155000000.0,40,183,-4.3155930483090295,3.11388131819632e-05,6.6174190318582625e-06,True,True
Industrials,OperatingIncome,1272757936.3715248,2765200037.7031684,627769500.0,1506383014.0,40,183,-3.647768395594035,0.0004178797693431226,6.413812419237659e-05,True,True
Industrials,GrossProfit,4073548314.8402495,6981457911.004622,2345841468.5,5162000000.0,40,183,-3.1468545560442958,0.0023144603177627575,0.0012200191475053115,True,True
Industrials,TotalRevenueIncr per,12.770624999999999,5.408222222222221,11.485,5.14,32,135,2.936254768109672,0.005205774596571623,0.0023693533337535524,True,True
Industrials,Net Margin per,6.923249999999999,10.309398907103825,6.955,10.24,40,183,-2.043646162795516,0.04603125096510917,0.0005213474753733517,True,True
Industrials,Operating Margin per,9.693499999999998,12.566939890710383,9.34,12.47,40,183,-1.6527113912844476,0.10433492722461216,0.003979447824136402,False,True
Industrials,GrossProfitIncr per,53.9634375,5.317407407407407,13.489999999999998,7.05,32,135,1.5670290883059372,0.1271662693058039,0.004802840877651491,False,True
Information Technology,fullTimeEmployees,51433.44736842105,87422.22064777328,34815.5,36000.0,114,494,-4.587672129055323,5.554532046813642e-06,0.3073059836438906,True,False
Information Technology,Stock_Performance per,9.932469135802469,27.469045936395762,9.085,16.549999999999997,162,566,-4.581728259180128,6.0884264922783435e-06,0.0023120763192004067,True,True
Information Technology,Operating Margin per,9.879342105263158,20.90300469483568,10.8,20.23,76,213,-3.420582824518084,0.0009210029302348825,0.00016963982039891153,True,True
Information Technology,Net Margin per,4.97236842105263,15.466572769953052,8.885000000000002,16.03,76,213,-2.7798817102566336,0.0064947676363650165,8.641219491607044e-05,True,True
Information Technology,Gross Margin per,40.86,50.614600938967136,41.76,49.35,76,213,-2.58048785282637,0.0112588242850935,0.009223337393615775,True,True
Information Technology,TotalRevenueIncr per,4.8692982456140355,12.422578616352201,5.72,9.18,57,159,-2.0550908163544133,0.04233944629448638,0.10225386427287762,True,False
Information Technology,DilutedEPS,-21.91275,0.9301126760563381,1.6960000000000002,2.94,76,213,-1.5764769043504394,0.1187211958089701,0.012178330309435857,False,True
Information Technology,GrossProfit,16383402299.857895,20075444710.542255,4525006000.0,9828637380.0,76,213,-0.7479199064154383,0.4559085544571897,0.0016571369694474993,False,True
Information Technology,NetIncome,7040976081.306448,9141142185.96534,842488556.4,2442000000.0,76,213,-0.7396929892932682,0.46086784150096516,0.0003205288401821939,False,True
Information Technology,OperatingIncome,8708660218.461843,11191288428.615633,1128265284.5,3325000000.0,76,213,-0.7299266543928489,0.46681823346018503,0.00026792616091695455,False,True
Information Technology,TotalRevenue,37039616696.56579,39170020010.18779,7524435353.0,19093000000.0,76,213,-0.19979877011072,0.8420149350955153,0.0097527706114963,False,True
Materials,OperatingIncome,938769266.7502917,4155533998.5026345,404788950.15000004,2184000000.0,24,167,-6.656730725626609,1.5991446718984664e-09,1.8426440853494682e-07,True,True
Materials,NetIncome,352410007.6645833,2639505950.688623,369023704.05,1504000000.0,24,167,-6.539151155412917,2.670270871666364e-09,2.3936223941036e-06,True,True
Materials,TotalRevenue,7945111213.5,27709419446.08982,4523758893.5,15741400000.0,24,167,-6.184736794527711,4.094391517192457e-09,9.846230101623469e-07,True,True
Materials,GrossProfit,2652846963.7875,7690239354.383833,1489445797.5,4737000000.0,24,167,-5.765031303057307,1.576844085785811e-07,5.436897631612939e-06,True,True
Materials,fullTimeEmployees,16371.918918918918,33813.23498694517,10582.0,22200.0,37,383,-5.723899057459423,3.0104094244322315e-07,2.944924780460581e-05,True,True
Materials,DilutedEPS,1.4688333333333334,6.524263473053893,1.7080000000000002,4.47,24,167,-5.620001613561105,3.482546806937938e-07,3.526247889556043e-05,True,True
Materials,Stock_Performance per,3.7206000000000006,15.274545454545454,8.55,10.74,50,429,-2.406047307978974,0.018294614273856556,0.23395090340935365,True,False
Materials,Operating Margin per,11.065416666666666,17.65461077844311,5.08,16.23,24,167,-2.375030719824579,0.024662846793101018,0.005402062788406086,True,True
Materials,Net Margin per,7.0275,12.073532934131736,5.285,11.65,24,167,-2.000774534875123,0.05492457633006939,0.02066353116324388,False,True
Real Estate,fullTimeEmployees,7533.6,5603.716129032258,4314.0,2500.0,30,310,0.9273745845592131,0.3600598888358202,0.00039840029105359836,False,True
Utilities,TotalRevenue,9535006276.982609,22872842911.22816,3141601699.0,12013532500.0,23,174,-3.26086232134673,0.0018402716917899303,0.0003069218853627669,True,True
Utilities,NetIncome,705355378.9826087,1862996335.2817242,283365630.7,1059092000.0,23,174,-2.89510848750259,0.005853967128940124,0.001072345462217867,True,True
Utilities,Gross Margin per,59.88347826086956,43.57454022988506,54.43,42.83,23,174,2.8998938236434997,0.007566650892984484,0.022238255095509786,True,True
Utilities,GrossProfit,4253901687.8956523,7301905438.516953,2227820450.0,4852433000.0,23,174,-2.151855778073853,0.03849150265751967,0.0034074398787242504,True,True
Utilities,Operating Margin per,24.783478260869565,19.395632183908045,24.73,19.13,23,174,1.998279549277437,0.05551021822910482,0.03459145124556985,False,True
Utilities,OperatingIncome,1699811225.552174,2785716466.5171266,800580097.8,1864138617.5,23,174,-1.6983981384878075,0.09595751605577418,0.002578416079552696,False,True
Utilities,DilutedEPS,1.397391304347826,2.33317816091954,0.705,2.069,23,174,-1.2831065004090247,0.21125272693652125,0.014374062109242365,False,True
