Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ReportDate_2024,Average Rank,Years Appeared,Adjusted Score,2016_Ranking,2017_Ranking,2018_Ranking,2019_Ranking,2020_Ranking,2021_Ranking,2022_Ranking,2023_Ranking,2024_Ranking,2025_Ranking,TotalRevenue_2020,TotalRevenue_2021,TotalRevenue_2022,TotalRevenue_2023,TotalRevenue_2024,NetIncome_2020,NetIncome_2021,NetIncome_2022,NetIncome_2023,NetIncome_2024,OperatingIncome_2020,OperatingIncome_2021,OperatingIncome_2022,OperatingIncome_2023,OperatingIncome_2024,GrossProfit_2020,GrossProfit_2021,GrossProfit_2022,GrossProfit_2023,GrossProfit_2024,DilutedEPS_2020,DilutedEPS_2021,DilutedEPS_2022,DilutedEPS_2023,DilutedEPS_2024,2016_Stock_Performance,2017_Stock_Performance,2018_Stock_Performance,2019_Stock_Performance,2020_Stock_Performance,2021_Stock_Performance,2022_Stock_Performance,2023_Stock_Performance,2024_Stock_Performance,2025_Stock_Performance
6758.T,Sony,Japan,Communication Services,112300,JPY,3/31/2025,0,0,0,,,,,,,,,,,,68568932372,75845391732,89988307270,89548040219,,6096852730,6947606744,6707762657,7889753629,,7687920793,8799293771,8065199745,9762948113,,18671624445,22358142237,22980089249,25312397454,,0.974691428,1.119396807,1.086016017,1.298740804,11.09662894,54.22510395,5.017247281,44.82273191,40.7247762,38.51673491,-31.5542875,33.40275127,26.81437192,13.19151087
TRI,Thomson Reuters,Canada,Communication Services,26400,USD,12/31/2024,0,0,0,,,,,,,,,,,,6348000000,6627000000,6794000000,7258000000,,5689000000,1338000000,2695000000,2210000000,,1234000000,1815000000,1950000000,1896000000,,5042000000,5311000000,5499000000,5756000000,,11.929993,2.987685,5.8,4.89,21.55152895,2.587125001,11.74223292,52.65840041,16.95299552,47.08236116,-2.59543948,35.6745277,12.76926173,24.28590209
FOXA,Fox,USA,Communication Services,10200,USD,6/30/2024,0,0,0,,,,,,,,,,,,12909000000,13974000000,14913000000,13980000000,,2150000000,1205000000,1239000000,1501000000,,2765000000,2574000000,2764000000,2478000000,,,,,,,3.61,2.11,2.33,3.13,,,,-1.120708463,-21.02707961,29.89374208,-17.01889877,-0.665184864,67.19807652,16.81485811
PARA,Paramount Global,USA,Communication Services,18600,USD,12/31/2024,0,0,0,,,,,,,,,,,,28586000000,30154000000,29652000000,29213000000,,4543000000,1104000000,-608000000,-6190000000,,4011000000,2833000000,-552000000,1469000000,,10842000000,10309000000,7264000000,8658000000,,6.94,1.61,-1.02,-9.34,39.00125754,-8.74048473,-24.35908296,-3.803517391,-8.993833623,-14.68045052,-42.63931497,-13.05632507,-28.30295578,20.23752956
AMT,American Tower,USA,Real Estate,4691,USD,12/31/2024,0,0,0,,,,,,,,,,,,9356900000,9645400000,10012200000,10127200000,,2567700000,1765800000,1483300000,2255000000,,3328400000,2922700000,3536800000,4603000000,,6674900000,7076200000,7450700000,7552800000,3.79,5.66,3.82,3.18,,11.98679735,36.36004997,13.39229579,48.25415249,-2.249382159,31.32635216,-25.63514763,4.317329888,-12.27997854,20.21290381
BT-A.L,BT Group,United Kingdom,Communication Services,85300,GBP,3/31/2025,0,0,0,,,,,,,,,,,,28616131675,28384183174,28543390429,27940873316,,1748534856,2614567426,1173467270,1446590062,,4549759065,4592305831,4714456226,4783080043,,21288480500,20817721115,20683218434,20577537756,,0.171559542,0.259398028,0.118032965,0.145482492,-21.44790419,-26.82649255,-13.86778196,-18.37244513,-29.8382045,24.46134949,-33.08869935,9.208547627,15.71910307,34.3728273
TEF,Telefonica,Spain,Communication Services,100870,EUR,12/31/2024,0,0,0,,,,,,,,,,,,45923508976,46760671499,47531188402,48306382191,,9513954542,2351304238,-1042945490,-57291848.66,,2993206787,3965998993,2807300584,5352695575,,32492662740,32545277703,32921766994,33624469056,,1.613525534,0.362458634,-0.23384428,-0.070153284,-7.430676579,10.05183771,-9.472728917,-10.22368182,-40.19422192,13.07596818,-10.97735628,16.45969153,10.24622151,28.14814353
AMZN,Amazon,USA,Consumer Discretionary,1560000,USD,12/31/2024,0,0,0,,,,,,,,,,,,4.70E+11,5.14E+11,5.75E+11,6.38E+11,,33364000000,-2722000000,30425000000,59248000000,,24879000000,12248000000,36852000000,68593000000,,1.97E+11,2.25E+11,2.70E+11,3.12E+11,,3.2405,-0.27,2.9,5.53,14.25894349,54.29992463,26.11092645,26.05036171,75.24532878,3.146483628,-49.86571264,77.79078407,46.0340589,0.571996703
TSLA,Tesla,USA,Consumer Discretionary,125665,USD,12/31/2024,0,0,0,,,,,,,,,,,,53823000000,81462000000,96773000000,97690000000,,5524000000,12583000000,14999000000,7130000000,,6496000000,13832000000,8891000000,7760000000,,13606000000,20853000000,17660000000,17450000000,,1.63,3.62,4.31,2.04,-7.381239554,44.90830539,7.009616522,35.47859883,718.3510398,48.76990571,-67.80309378,109.7408569,66.91058885,-17.03922076
HD,The Home Depot,USA,Consumer Discretionary,470000,USD,1/31/2025,0,0,0,,,,,,,,,,,,1.51E+11,1.57E+11,1.53E+11,1.60E+11,,16433000000,17105000000,15143000000,14806000000,,23040000000,24039000000,21689000000,21526000000,,50832000000,52778000000,50960000000,53308000000,,15.53,16.69,15.11,14.91,5.244490013,43.52097732,-8.487130398,31.5354222,23.93566163,57.32639097,-22.26840694,12.21518576,15.90847634,-4.780014967
BABA,Alibaba Group,China,Consumer Discretionary,124320,CNY,3/31/2025,0,0,0,,,,,,,,,,,,1.19E+11,1.21E+11,1.31E+11,1.39E+11,,8684897271,10154586870,11162748731,18152633762,,13223439388,14379491032,17282316340,20519846922,,43754727031,44505337439,49507500074,55537078145,7.634461255,3.16986403,3.828392121,4.364143788,,12.31772468,93.74156743,-21.15034622,58.73406525,10.06001288,-45.69978123,-26.21042225,-13.78339942,13.02883684,35.18189674
TM,Toyota Motor,Japan,Consumer Discretionary,383853,JPY,3/31/2025,0,0,0,,,,,,,,,,,,2.17E+11,2.57E+11,3.12E+11,3.32E+11,,19697499751,16941393733,34175107815,32932160617,,20703664495,18833027131,36994865401,33142950286,,41271048285,43630116411,64745726119,66195129702,10.98414596,14.1837258,12.40341699,25.29061355,,-0.239149317,11.17726859,-5.791367793,24.25468005,12.10626157,21.42067207,-25.0414081,36.84405875,10.21000713,-9.598759768
MCD,McDonalds,USA,Consumer Discretionary,150000,USD,12/31/2024,0,0,0,,,,,,,,,,,,23222900000,23182000000,25495000000,25920000000,,7545200000,6177000000,8469000000,8223000000,,9872700000,10345000000,11747000000,11851000000,,12580200000,13207000000,14564000000,14710000000,,10.04,8.33,11.56,11.39,7.012285606,44.88366375,3.612531335,14.9662503,9.514268564,27.43157402,-0.02144507,15.06197913,0.531450061,1.35639207
BKNG,Booking Holdings,USA,Consumer Discretionary,24500,USD,12/31/2024,0,0,0,,,,,,,,,,,,10958000000,17090000000,21365000000,23739000000,,1165000000,3058000000,4289000000,5882000000,,2496000000,5102000000,5835000000,7555000000,,,,,,,28.17,76.35,117.4,172.69,16.72451659,17.66051016,-1.957617321,21.44095774,6.616729618,6.485339218,-16.82708228,73.98312966,43.04321488,14.50648431
DASH,DoorDash,USA,Consumer Discretionary,23700,USD,12/31/2024,0,0,0,,,,,,,,,,,,4888000000,6583000000,8635000000,10722000000,,-468000000,-1365000000,-558000000,123000000,,-452000000,-1032000000,-577000000,-38000000,,2550000000,2995000000,4046000000,5180000000,,-1.39,-3.68,-1.42,0.29,,,,,-22.96703464,6.93333676,-67.36849175,97.85914425,73.41513375,43.56005218
RCL,Royal Caribbean Cruises,USA,Consumer Discretionary,105950,USD,12/31/2024,0,0,0,,,,,,,,,,,,1532000000,8840000000,13900000000,16485000000,,-5260000000,-2156000000,1697000000,2877000000,,-3870000000,-766000000,2878000000,4108000000,,-1207000000,2224000000,6125000000,7833000000,,-20.89,-8.45,6.31,10.94,-15.76050687,47.00241152,-18.24539778,41.78978543,-44.64358693,3.409072363,-36.2769134,156.2129204,83.74576268,34.5195071
CCL,Carnival Corporation,USA,Consumer Discretionary,115000,USD,11/30/2024,0,0,0,,,,,,,,,,,,1908000000,12169000000,21593000000,25021000000,,-9501000000,-6093000000,-74000000,1916000000,,-6865000000,-4378000000,1956000000,3574000000,,-2747000000,412000000,7276000000,9383000000,,-8.46,-5.16,-0.06,1.44,-1.167941665,30.33850475,-25.31974267,8.562664304,-57.07045918,-5.391705231,-60.79766231,125.0000174,36.8104859,8.475929722
NKE,Nike,USA,Consumer Discretionary,,USD,5/31/2024,0,0,0,,,,,,,,,,,,44538000000,46710000000,51217000000,51362000000,,5727000000,6046000000,5070000000,5700000000,,6937000000,6675000000,5915000000,6311000000,,19962000000,21479000000,22292000000,22887000000,,3.56,3.75,3.23,3.73,-15.82867147,21.91751774,18.008778,39.94717559,41.01149072,18.13051349,-29.40537484,-7.234605583,-29.43914325,-4.412069147
EBAY,eBay,USA,Consumer Discretionary,11500,USD,12/31/2024,0,0,0,,,,,,,,,,,,10420000000,9795000000,10112000000,10283000000,,13608000000,-1269000000,2767000000,1975000000,,2923000000,2350000000,1941000000,2318000000,,7770000000,7115000000,7279000000,7403000000,,20.54,-2.27,5.19,3.94,9.516802692,26.51692658,-26.01516785,31.43116007,40.83152522,33.7628275,-36.41717215,6.091104042,46.24362407,20.14053249
SBUX,Starbucks,USA,Consumer Discretionary,361000,USD,9/30/2024,0,0,0,,,,,,,,,,,,29060600000,32250300000,35975600000,36176200000,,4199300000,3281600000,4124500000,3760900000,,4657200000,4429700000,5502900000,5107600000,,8391000000,8371100000,9846200000,9709100000,,3.54,2.83,3.58,3.31,-4.116360976,4.625593148,11.92323999,39.88990313,22.73668609,9.754346483,-12.80362009,-2.521503613,-2.626902875,1.869886033
F,Ford Motor,USA,Consumer Discretionary,170000,USD,12/31/2024,0,0,0,,,,,,,,,,,,1.36E+11,1.58E+11,1.76E+11,1.85E+11,,17937000000,-1981000000,4347000000,5879000000,,4523000000,6276000000,5458000000,5219000000,,16438000000,17164000000,16160000000,15506000000,,4.45,-0.49,1.08,1.46,-6.44494232,8.108877077,-33.13549836,30.99760381,-3.00668238,133.5196074,-43.53941812,13.95897732,-12.19680043,14.18445591
GM,General Motors,USA,Consumer Discretionary,162000,USD,12/31/2024,0,0,0,,,,,,,,,,,,1.27E+11,1.57E+11,1.72E+11,1.87E+11,,10019000000,9934000000,10127000000,6008000000,,9324000000,10314000000,9298000000,12784000000,,17878000000,20981000000,19138000000,23405000000,,6.7,6.13,7.32,6.37,9.255387546,22.02118256,-14.38504984,15.59331338,14.46057876,38.56972795,-43.55806344,6.716406368,52.12571645,-6.291734253
YUM,Yum! Brands,USA,Consumer Discretionary,40000,USD,12/31/2024,0,0,0,,,,,,,,,,,,6584000000,6842000000,7076000000,7549000000,,1575000000,1325000000,1597000000,1486000000,,2106000000,2167000000,2303000000,2403000000,,3166000000,3307000000,3496000000,3584000000,,5.21,4.57,5.59,5.22,26.43341441,30.61938315,13.4691424,12.3291664,10.62159062,29.06786572,-5.664195386,3.65866926,4.969659478,11.47355265
CMG,Chipotle Mexican Grill,USA,Consumer Discretionary,130504,USD,12/31/2024,0,0,0,,,,,,,,,,,,7547061000,8634652000,9871649000,11313853000,,652984000,899101000,1228737000,1534110000,,845498000,1211102000,1633114000,1985179000,,1707009000,2062119000,2586092000,3017692000,,0.458,0.6408,0.8868,1.11,-19.4964754,-23.76091329,45.81987226,95.42107912,63.59750828,26.00023081,-20.25919443,63.31928781,31.86596114,-9.442345109
MAR,Marriott International,USA,Consumer Discretionary,418000,USD,12/31/2024,0,0,0,,,,,,,,,,,,13857000000,20773000000,23713000000,25100000000,,1099000000,2358000000,3083000000,2375000000,,1758000000,3474000000,3924000000,3844000000,,2801000000,4558000000,5124000000,5101000000,,3.34,7.24,10.18,8.33,27.48129134,64.90065991,-20.12593367,44.34625647,-13.53588268,25.35929041,-9.246438359,52.07685525,25.54373622,-2.266261663
HLT,Hilton Worldwide,USA,Consumer Discretionary,181000,USD,12/31/2024,0,0,0,,,,,,,,,,,,5788000000,8773000000,10235000000,11174000000,,410000000,1255000000,1141000000,1535000000,,1017000000,2094000000,2263000000,2365000000,,1655000000,2698000000,2930000000,3063000000,,1.46,4.53,4.33,6.14,29.91314069,42.51163667,-10.9403561,58.57696915,-0.720581236,39.65934971,-18.69706841,43.0829673,37.28165252,6.940149924
TPR,Tapestry,USA,Consumer Discretionary,12500,USD,6/30/2024,0,0,0,,,,,,,,,,,,5746300000,6684500000,6660900000,6671200000,,834200000,856300000,936000000,816000000,,968000000,1175800000,1172400000,1140100000,,4081900000,4650400000,4714900000,4889500000,,2.95,3.17,3.88,3.5,12.11183813,31.15641326,-21.50159537,-15.83029546,17.42662238,28.99021691,-4.283262788,-3.143285005,84.17548825,33.91490782
EXPE,Expedia Group,USA,Consumer Discretionary,16500,USD,12/31/2024,0,0,0,,,,,,,,,,,,8598000000,11667000000,12839000000,13691000000,,12000000,352000000,797000000,1234000000,,262000000,1189000000,1534000000,1670000000,,7076000000,10010000000,11266000000,12248000000,,-1.8,2.17,5.31,8.95,-5.743122144,5.953354302,-5.110433894,-1.259328612,21.80662531,34.85174487,-51.68229654,71.26254998,22.95774849,-8.460066297
W,Wayfair,USA,Consumer Discretionary,12100,USD,12/31/2024,0,0,0,,,,,,,,,,,,13708000000,12218000000,12003000000,11851000000,,-131000000,-1331000000,-738000000,-492000000,,-82000000,-1314000000,-734000000,-345000000,,3895000000,3416000000,3667000000,3574000000,,-1.26,-12.54,-6.47,-4.01,-22.96703464,130.0659159,13.35414666,1.324434964,151.7407018,-14.70848463,-82.7900166,82.16711753,-26.51515475,13.82222493
RL,Ralph Lauren,USA,Consumer Discretionary,15000,USD,3/31/2025,0,0,0,,,,,,,,,,,,6218500000,6443600000,6631400000,7079000000,,600100000,522700000,646300000,742900000,,823700000,733100000,812200000,953300000,,4147500000,4165800000,4431800000,4852900000,,8.07,7.58,9.71,11.61,-16.09154037,16.3093596,0.434493988,17.61906267,-11.01073362,15.58981275,-9.201830344,37.45279253,64.34265089,19.81544888
TGT,Target,USA,Consumer Discretionary,440000,USD,1/31/2025,0,0,0,,,,,,,,,,,,1.06E+11,1.09E+11,1.07E+11,1.07E+11,,6946000000,2780000000,4138000000,4091000000,,8946000000,3848000000,5707000000,5566000000,,31042000000,26814000000,29584000000,30064000000,,14.1,5.98,8.94,8.86,3.839561129,-6.392747193,1.788918971,104.4202539,37.79369874,33.19049144,-34.13526688,-1.968539268,-2.203736112,-25.43622549
BBY,Best Buy,USA,Consumer Discretionary,85000,USD,1/31/2025,0,0,0,,,,,,,,,,,,51761000000,46298000000,43452000000,41528000000,,2454000000,1419000000,1241000000,927000000,,3005000000,1942000000,1727000000,1734000000,,11640000000,9912000000,9603000000,9385000000,,9.84,6.29,5.68,4.28,49.55098136,63.03317464,-22.82541907,72.56454976,17.78236139,4.566053315,-18.16207403,1.600040837,14.46240134,-18.82450064
LOW,Lowe's Companies,USA,Consumer Discretionary,300000,USD,1/31/2025,0,0,0,,,,,,,,,,,,96250000000,97059000000,86377000000,83674000000,,8442000000,6437000000,7726000000,6957000000,,12093000000,10159000000,11557000000,10466000000,,32056000000,32257000000,28844000000,27877000000,,12.04,10.17,13.2,12.23,-3.161342898,32.19326179,0.593232162,34.21111541,36.11351223,61.76082053,-21.70352518,12.76100108,14.15494001,-9.053697407
PDD,Pinduoduo,China,Consumer Discretionary,23465,CNY,12/31/2024,0,0,0,,,,,,,,,,,,13107769905,18215220299,34550290859,54947485808,,1083874454,4400148253,8374823181,15686712822,,962227015.2,4241635379,8189572811,15127012776,,8682503968,13825642538,21753140004,33475511348,,0.758981528,3.058249099,5.742588181,10.60341841,,,-16.754719,73.40909784,365.2207808,-66.36492177,39.76007744,71.10278787,-34.39672214,9.990588364
JD,JD.com,China,Consumer Discretionary,570895,CNY,12/31/2024,0,0,0,,,,,,,,,,,,1.33E+11,1.46E+11,1.51E+11,1.62E+11,,-496686441.3,1448203725,3371747536,5770352395,,817021292.2,2559330359,4033484556,5520753506,,18007115796,20519428366,22281688602,25653017581,,-0.320892926,0.895709818,2.123474055,3.747471296,-17.02544026,59.61463311,-48.48125318,74.29836358,148.943271,-19.59798261,-16.47870473,-49.41428357,25.86493012,-0.219985039
