,Unnamed: 0,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,Average Rank,Years Appeared,Adjusted Score,2016_x,2017_x,2018_x,2019_x,2020_x,2021_x,2022_x,2023_x,2024_x,2025_x,TotalRevenue_2020,TotalRevenue_2021,TotalRevenue_2022,TotalRevenue_2023,TotalRevenue_2024,NetIncome_2020,NetIncome_2021,NetIncome_2022,NetIncome_2023,NetIncome_2024,OperatingIncome_2020,OperatingIncome_2021,OperatingIncome_2022,OperatingIncome_2023,OperatingIncome_2024,GrossProfit_2020,GrossProfit_2021,GrossProfit_2022,GrossProfit_2023,GrossProfit_2024,DilutedEPS_2020,DilutedEPS_2021,DilutedEPS_2022,DilutedEPS_2023,DilutedEPS_2024,ReportDate_2024,2016_y,2017_y,2018_y,2019_y,2020_y,2021_y,2022_y,2023_y,2024_y,2025_y
10,10,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,EUR,55.5,2,0.036036036,,,83.0,,,28.0,,,,,,11025877202.0,12473835833.0,12269120474.0,12318574185.0,,953421529.2,404830371.9,508338137.4,623346765.8,,1285796465.0,814261088.8,1183438786.0,1054629122.0,,4489936852.0,4511788491.0,4869465325.0,4987924212.0,,5.129384825,2.31167343,2.967222612,3.634272656,12/31/2024,-2.5754722976219164,23.69981323739309,-4.178107015737073,42.43897137033464,-0.0079957824667623,10.937655506816684,-33.62077928563595,21.908340879539843,-21.263311029912927,2.649320020057889
11,11,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,USD,10.0,1,0.1,,,,,10.0,,,,,,,2274142000.0,2765013000.0,2403924000.0,2319538000.0,,264859000.0,-211989000.0,28674000.0,-1380517000.0,,388410000.0,511418000.0,482427000.0,449572000.0,,1560227000.0,1898659000.0,1660420000.0,1725209000.0,,0.41,-0.33,0.03,-1.9,12/31/2024,10.117139992159226,29.41414769774692,1.5819506403680388,39.77803284529407,19.951703296510864,-8.926664335832339,-48.42938519255259,-0.5949512636630331,-19.79828490246487,24.80925246012049
12,12,ALV.DE,Allianz SE,Germany,Financials,156626.0,EUR,71.0,3,0.042253521,,,71.0,,,49.0,93.0,,,,,136758000000.0,71239794670.0,118473000000.0,137466000000.0,,7602070335.0,7384704028.0,9822886949.0,11421506883.0,,,,,,,,,,,,18.20586587,17.80333567,24.35882749,28.95917262,12/31/2024,3.0551264230018385,28.038752927078622,-5.492788277297954,30.044449744946643,-2.3829634206111376,7.16240388087856,1.7070145526667282,26.606752816256424,28.31797467491708,18.041988583482805
13,13,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,USD,53.2,5,0.093984962,,,,52.0,62.0,90.0,36.0,26.0,,,,257637000000.0,282836000000.0,307394000000.0,350018000000.0,,76033000000.0,59972000000.0,73795000000.0,100118000000.0,,78714000000.0,74842000000.0,84293000000.0,112390000000.0,,146698000000.0,156633000000.0,174062000000.0,203712000000.0,,5.61,4.56,5.8,8.04,12/31/2024,3.968770249261576,31.573039805524477,-0.6020733648059157,30.423458403891583,28.76276033376969,66.13691094953774,-39.17478664443635,55.92143907512248,38.529959156597705,-13.149505146627662
14,14,ALO.PA,Alstom SA,France,Industrials,86039.0,EUR,31.0,5,0.161290323,,,,62.0,,39.0,29.0,,18.0,7.0,,17792984895.0,18984474285.0,20263370232.0,21263945299.0,,-668200130.8,-151811389.4,-355376661.7,171362856.3,,143760785.5,333525022.3,570442796.7,760207033.5,,1983898839.0,2261069634.0,2545140946.0,2649798798.0,1.081081107,-1.794134603,-0.402530199,-0.93156989,,3/31/2025,-7.082005092732954,32.15581829159637,1.513391827667368,21.15660803624155,19.734451984826496,-33.96186531257847,-27.440384288590515,-47.13541744276878,76.14006214260026,-15.635029486071414
15,15,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,EUR,51.5,2,0.038834951,,87.0,16.0,,,,,,,,,3070730377.0,5159172060.0,6257849487.0,7063484929.0,,-163772286.8,764117326.9,1285336431.0,1441058113.0,,-95457161.55,1107188065.0,1626106997.0,1871880435.0,,960207038.2,2153076532.0,2773318064.0,3053479083.0,,-0.368027611,1.667625111,2.794709669,3.208740731,12/31/2024,9.335282620337477,42.32402881439607,3.94716687770386,22.20517593990697,-17.22123785661204,-1.8110024297400669,-18.512920347715607,33.52531233649914,6.112139610229834,-0.432408704167095
16,16,AWK,American Water Works Company Inc,USA,Utilities,6700.0,USD,10.33333333,3,0.290322581,,,,,16.0,9.0,6.0,,,,,3930000000.0,3792000000.0,4234000000.0,4684000000.0,,1263000000.0,820000000.0,944000000.0,1051000000.0,,1196000000.0,1273000000.0,1504000000.0,1718000000.0,,2153000000.0,2203000000.0,2514000000.0,2826000000.0,,6.95,4.51,4.9,5.39,12/31/2024,23.718355142496,28.993210210543385,1.0225411477101467,38.50526055908449,24.37563227687605,24.23412020472,-17.939907482256505,-12.454411916049866,-3.139775738469452,16.037317356801562
17,17,AMUN.PA,Amundi SA,France,Communication Services,5700.0,EUR,45.66666667,3,0.065693431,,,6.0,31.0,100.0,,,,,,,6659682734.0,6753521724.0,6461270998.0,7122256638.0,,1574985661.0,1234866044.0,1339717110.0,1501002911.0,,1737597511.0,1480041438.0,1379985082.0,1521668811.0,,2750295637.0,2666770621.0,2459415814.0,2679382467.0,,7.763082415,6.072455578,6.555491817,7.326049627,12/31/2024,11.391129522731283,50.740705094343696,-32.14379924247325,59.47954672802609,-3.27169931032282,11.66549561988026,-21.04080690748912,23.10582830845408,9.42991173594722,8.619946332118863
18,18,ADI,Analog Devices Inc,USA,Information Technology,24000.0,USD,60.16666667,6,0.099722992,,78.0,42.0,17.0,82.0,74.0,68.0,,,,,7318286000.0,12013953000.0,12305539000.0,9427157000.0,,1390422000.0,2748561000.0,3314579000.0,1635273000.0,,1776657000.0,3553209000.0,3983822000.0,2070056000.0,,4525012000.0,7532474000.0,7877218000.0,5381343000.0,,3.46,5.25,6.55,3.28,10/31/2024,37.6457472750788,25.33584937056419,-2.293598246025448,44.36082468270428,24.21461631183035,19.69933787315431,-4.586568537807794,22.208863615795646,9.689861061940054,8.144777930023494
19,19,AAL.L,Anglo American PLC,United Kingdom,Materials,,USD,90.0,1,0.011111111,,,,,,,,,,90.0,,41554000000.0,35118000000.0,30652000000.0,27290000000.0,,8562000000.0,4514000000.0,283000000.0,-3068000000.0,,17238000000.0,10921000000.0,6552000000.0,4948000000.0,13482000000.0,25661000000.0,19592000000.0,15044000000.0,,1.67,6.84,3.68,0.23,,12/31/2024,296.78467035098765,32.89022296157345,12.520837027201868,26.588917002429035,11.912940827111637,22.39177975144468,6.974054363453456,-39.01903016793373,17.741923748453544,-13.821419429243315
20,20,ANSS,ANSYS; Inc.,USA,Health Care,6600.0,USD,87.0,1,0.011494253,,,,87.0,,,,,,,,1906715000.0,2065553000.0,2269949000.0,2544809000.0,,454627000.0,523710000.0,500412000.0,575692000.0,,513271000.0,592658000.0,626135000.0,717888000.0,,1648731000.0,1814912000.0,1998651000.0,2264990000.0,,5.16,5.99,5.73,6.55,12/31/2024,1.1925561484613374,58.49440720007701,-3.482948778874543,83.1799581430928,40.97505682935425,11.958047700401355,-39.44354206147515,47.951236825398006,-5.819391046713839,-1.2876786928904842
21,21,AAPL,Apple Inc,USA,Information Technology,164000.0,USD,71.5,6,0.083916084,84.0,84.0,,,,,48.0,73.0,71.0,69.0,,365817000000.0,394328000000.0,383285000000.0,391035000000.0,,94680000000.0,99803000000.0,96995000000.0,93736000000.0,,108949000000.0,119437000000.0,114301000000.0,123216000000.0,,152836000000.0,170782000000.0,169148000000.0,180683000000.0,,5.61,6.11,6.13,6.08,9/30/2024,15.38530767742622,48.48996635124373,-6.8079971191151705,91.03886978933916,82.11561514708734,34.28591330068231,-26.511791377777943,48.607733482907726,35.41841667050513,-18.858285191416343
22,22,AMAT,Applied Materials Inc,USA,Information Technology,,USD,64.33333333,3,0.046632124,56.0,94.0,43.0,,,,,,,,,23063000000.0,25785000000.0,26517000000.0,27176000000.0,,5888000000.0,6525000000.0,6856000000.0,7177000000.0,,7200000000.0,7784000000.0,7654000000.0,7867000000.0,,10914000000.0,11993000000.0,12384000000.0,12897000000.0,,6.4,7.44,8.11,8.61,10/31/2024,79.1569641128371,59.41663416815498,-36.33499049879842,93.65340666219991,42.18287231554806,82.3739089941773,-37.69307089583888,63.94929797124216,3.0736417448265776,5.092838040979842
23,23,ARCLK.IS,Arcelik AS,Turkey,Consumer Discretionary,53401.0,TRY,61.6,5,0.081168831,,,,,,34.0,57.0,89.0,60.0,68.0,,1716605661.0,6474541433.0,9345382306.0,10789094077.0,,77155975.29,158243169.9,491068377.0,42524186.6,,127203229.1,210545455.7,414858059.4,136620028.7,,515561094.2,1728843195.0,2739890788.0,2973326941.0,,0.116010621,0.257902084,0.809204293,0.070064574,12/31/2024,54.88814864125556,4.902188018806385,-25.28247946426905,30.851729744452676,45.8095394140186,71.36435532807027,139.5917237883318,12.719298245614036,10.10801715106648,-23.125438476336637
24,24,ASM.AS,ASM International NV,Netherlands,Information Technology,4558.0,EUR,33.0,1,0.03030303,,,,,,,,33.0,,,,1989546913.0,2772774074.0,3029707950.0,3372885646.0,,568958035.3,447513524.1,864948841.6,788653267.7,,560537103.5,727308815.4,751858557.2,922524461.2,,952422104.2,1314411762.0,1462560127.0,1703706768.0,6.64749872,11.62737233,9.12018423,17.45830979,,12/31/2024,21.13178087019632,34.14028235568102,-30.924852224198883,186.72132858986663,78.84700084092613,117.63823762755388,-39.49251289937796,97.16172186855032,18.948930834914275,-6.505874986764586
25,25,ASML.AS,ASML Holding NV,Netherlands,Information Technology,43129.0,EUR,72.0,2,0.027777778,49.0,95.0,,,,,,,,,,21404255826.0,24351236919.0,31694652849.0,32504773627.0,,6766187624.0,6468315277.0,9015526378.0,8707993306.0,,7517423985.0,7476365904.0,10399425203.0,10376768503.0,,11281196357.0,12306038244.0,16257734715.0,16667050423.0,,16.49223731,18.48188658,23.68027658,22.1276601,12/31/2024,33.51464536661028,38.288664243394045,-4.9184513996970765,96.96341647585804,51.71755798672788,76.80346813324668,-28.06723957485401,33.691041559080375,-0.8010675393679046,-0.4089725589661925
26,26,G.MI,Assicurazioni Generali SpA,Italy,Financials,86851.0,EUR,72.0,3,0.041666667,,56.0,,,69.0,,,,91.0,,,106750000000.0,36797010646.0,61795286109.0,68633699151.0,,3274295650.0,2570442844.0,4309373305.0,4282921320.0,,,,,,,,,,,,2.058654448,1.62162166,2.794039169,2.783208807,12/31/2024,-10.975081096527717,13.819641133516166,1.666934281646119,33.629004750047066,-19.614558011308013,41.7494462684116,-5.024721806467683,21.764855908749997,50.20402791002627,13.831431360745528
27,27,4503.T,Astellas Pharma Inc,Japan,Health Care,13643.0,JPY,90.0,2,0.022222222,95.0,85.0,,,,,,,,,,8864228996.0,10385566147.0,10967228537.0,13078038014.0,,848602158.2,675087547.7,116567733.6,347049737.5,,895632742.1,899695002.9,129575174.4,275248937.5,,7133945294.0,8413571094.0,8966975468.0,10689880081.0,,0.458543065,0.369911922,0.064763651,0.193128354,3/31/2025,-3.5184287505531104,-10.674207328608636,-0.3888815913367996,38.71937413087269,-11.76833758207751,19.26103349329834,8.16002408074416,-15.27638190954774,-6.707202393027583,-9.2639426532309
28,28,AZN.L,AstraZeneca PLC,United Kingdom,Health Care,94300.0,USD,72.14285714,7,0.097029703,,,34.0,50.0,56.0,82.0,91.0,97.0,95.0,,,37417000000.0,44351000000.0,45811000000.0,54073000000.0,,112000000.0,3288000000.0,5955000000.0,7035000000.0,,-139000000.0,4512000000.0,8722000000.0,10251000000.0,,24980000000.0,31960000000.0,37543000000.0,43866000000.0,,0.08,2.11,3.81,4.5,12/31/2024,-2.7502409675939847,15.587732891199686,14.246735544817668,30.724981751726048,-2.527266243228394,16.83988850299262,30.07886179502341,-6.324600662462189,-2.08573900609557,0.1489089996826886
29,29,ATEA.OL,Atea ASA,Norway,Information Technology,7894.0,NOK,50.25,4,0.07960199,,,,,,,51.0,49.0,41.0,60.0,,2820639765.0,3207337982.0,3435733473.0,3423754343.0,,75240820.65,83952915.67,79200863.84,76725836.84,,103852132.7,118900296.8,123157343.3,119890307.6,,836163120.0,891207720.3,1014662067.0,1029314227.0,0.526685745,0.660337202,0.747458152,0.70686771,,12/31/2024,17.54890779400763,54.35099526585287,0.3597670184143624,23.436579329515407,-1.9473223812632536,41.98951152664879,-27.16025813453734,18.82805808794064,14.074743120886264,11.123477167632377
30,30,ATCO-A.ST,Atlas Copco AB,Sweden,Energy,55248.0,SEK,34.0,1,0.029411765,34.0,,,,,,,,,,,11432282237.0,14567109845.0,17797385136.0,18220715192.0,,1868754300.0,2419897667.0,2890230038.0,3069787125.0,,2370215396.0,3153793454.0,3966747959.0,3902222852.0,,4795988353.0,6121020704.0,7742703628.0,7807331810.0,,0.382409181,0.495791957,0.592682693,0.628759031,12/31/2024,39.56587109669984,30.691201584587564,-17.326344113162154,82.5783321821355,14.464136061465528,49.7433807282322,-20.280480258607323,41.16214120540797,-1.3593448497085168,-11.431746629833924
31,31,ANZ.AX,Australia & New Zealand Banking Group Ltd,Australia,Financials,43094.0,AUD,67.0,1,0.014925373,67.0,,,,,,,,,,,11505434172.0,12251317924.0,13015252451.0,13122267752.0,,3972459538.0,4589409193.0,4581028477.0,4212921629.0,,,,,,,,,,,0.760711174,1.309970428,1.503371574,1.465980686,,9/30/2024,9.149610046365227,-5.6157655640959385,-14.98428142594448,1.4729902858993604,-5.605552487251351,22.23199535893555,-11.426275100667953,18.021630891960275,17.46968498406583,2.128124811067117
32,32,ADSK,Autodesk Inc,USA,Information Technology,15300.0,USD,32.11111111,9,0.280276817,,100.0,8.0,48.0,5.0,43.0,3.0,5.0,11.0,66.0,,4386000000.0,5005000000.0,5497000000.0,6131000000.0,,497000000.0,823000000.0,906000000.0,1112000000.0,,618000000.0,989000000.0,1128000000.0,1369000000.0,,3968000000.0,4525000000.0,4986000000.0,5553000000.0,,2.24,3.78,4.19,5.12,1/31/2025,23.329452101773654,40.50395519834687,20.780337744486108,46.18390935799791,62.53731759924529,-7.365754159827782,-33.43426502188671,27.73056445513746,23.564104437570805,1.0747312198257766
33,33,AV.L,Aviva PLC,United Kingdom,Financials,29091.0,GBP,79.0,1,0.012658228,79.0,,,,,,,,,,,44319935694.0,-35997687416.0,44231258202.0,42672684097.0,,2641514387.0,-1412121882.0,1457804227.0,917677683.8,,,,,,,,,,,,0.659850563,-0.466228633,0.499818592,0.313058419,12/31/2024,-4.063104317831894,3.790975056176832,-25.66127168767863,13.659705155939315,-22.385256045546797,24.01446662252833,7.271584854827523,-2.4352514155337714,7.258374853672025,31.84601517536632
34,34,CS.PA,AXA SA,France,Financials,100041.0,EUR,85.0,1,0.011764706,,,85.0,,,,,,,,,128455000000.0,79418058233.0,97275447960.0,103304000000.0,,8388729353.0,5820586682.0,8267970293.0,9069580433.0,,,,,,,,,,,,3.415756263,2.438182921,3.599770068,3.800723494,12/31/2024,1.871316781755738,8.072075443165593,-20.049504652002643,42.835024210604914,-19.445690241257328,41.175602615987096,5.302663831192735,19.39737139194857,22.10859903482952,27.985262379824505
35,35,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,BRL,22.55555556,9,0.399014778,75.0,,49.0,8.0,9.0,3.0,21.0,15.0,6.0,17.0,,18080704080.0,22334056944.0,22735926300.0,25688865000.0,,3571760056.0,5637909528.0,5411163204.0,4776539985.0,,,,,,,,,,,,0.621556932,0.98126262,0.947738412,0.837199133,12/31/2024,97.40516757351875,14.639362264423005,48.78808395479774,18.68417924316292,-24.77625580128899,-25.23239083095319,19.97558597378165,61.86439922198906,-12.30043343737242,-12.7430695655104
36,36,BSBR,Banco Santander Brasil SA,Brazil,Financials,55303.0,BRL,68.0,2,0.029411765,,60.0,76.0,,,,,,,,,8820422546.0,7823531846.0,7242197621.0,8792067227.0,,2813868326.0,2588991747.0,1712328279.0,2421989184.0,,,,,,,,,,,,0.359098628,0.331876971,0.219054422,0.309513607,12/31/2024,146.6611274355438,5.269436333019492,15.797057618004445,7.105269068147516,-29.49597953519474,-35.05392868531181,7.376263267649412,34.02918147684534,-36.61943578070208,44.587019193983465
37,37,BAC,Bank of America Corp,USA,Financials,213000.0,USD,63.0,1,0.015873016,,,,63.0,,,,,,,,89113000000.0,94950000000.0,98581000000.0,101887000000.0,,31978000000.0,27528000000.0,26515000000.0,27132000000.0,,,,,,,,,,,,3.57,3.19,3.08,3.21,12/31/2024,36.449321232830776,32.683318738898706,-16.50952170932548,49.2926481389234,-12.916484175469462,49.00611306722796,-24.836613523681137,4.478966002800178,34.85293869504397,6.177506086922959
38,38,3988.HK,Bank of China Ltd,China,Financials,312757.0,CNY,94.0,1,0.010638298,,,,,,,,,94.0,,,84040206360.0,81346967614.0,86522538037.0,87564691632.0,,30127852141.0,31513912248.0,32262660166.0,33088620104.0,,,,,,,,,,,,0.09738453,0.100166945,0.102949361,0.104340568,12/31/2024,6.891396651141752,17.44853184080275,-8.45407648155427,5.628740696243431,-15.283839409128722,15.914110617202535,9.46658258080964,14.61371739363488,41.77255524166169,16.708862730715996
39,39,BMO.TO,Bank of Montreal,Canada,Financials,53597.0,CAD,70.28571429,7,0.099593496,86.0,61.0,,,48.0,47.0,80.0,88.0,,82.0,,19585422672.0,19112327249.0,22646713979.0,23320692997.0,,5643664477.0,9852758063.0,3220688072.0,5326326624.0,,,,,,,,,,,,8.42837692,14.54950385,4.192353287,6.921749958,10/31/2024,31.06312863206388,7.626118308667919,-8.328559615151221,18.41523738857305,0.7074997446027803,45.96983119181529,-7.719029407083989,10.959872523175337,11.923057113605386,5.391239760896679
40,40,BAS.DE,BASF SE,Germany,Information Technology,111408.0,EUR,87.0,1,0.011494253,,,,,87.0,,,,,,,90394481725.0,100434000000.0,79243245118.0,75054630873.0,,6351926545.0,-721104099.9,258769413.8,1492811996.0,,9052329139.0,8465785134.0,3746981112.0,3837837929.0,,22768258158.0,24228867738.0,19208741110.0,19649224157.0,,6.900517702,-0.805060399,0.287521571,1.667625111,12/31/2024,32.74876097994923,8.479465279633988,-31.59141367885215,16.435424890240423,2.515920425044432,-1.0187302654810158,-19.63625717462393,12.465881119817809,-7.156135418952829,1.8481739283299816
41,41,BMW.DE,Bayerische Motoren Werke AG,Germany,Consumer Discretionary,159104.0,EUR,33.25,4,0.120300752,1.0,16.0,17.0,99.0,,,,,,,,127934000000.0,164014000000.0,178836000000.0,163749000000.0,,14240368365.0,20633698016.0,12984474143.0,8384129008.0,,15473260861.0,16341576005.0,21248994177.0,13104083116.0,,25285797033.0,28255319818.0,34144911676.0,26331225465.0,,21.58711954,31.40885641,20.32202463,13.36400262,12/31/2024,-2.1579949368739184,2.261351306122925,-14.870530736895557,9.020354547629012,4.293947347578077,23.95723623540108,0.894075391656347,30.807268286301863,-17.287570479506016,-8.046854623316863
42,42,BCE.TO,BCE Inc,Canada,Communication Services,40390.0,CAD,42.33333333,3,0.070866142,,,,,,,,42.0,51.0,34.0,,17067099344.0,17594782700.0,17957974417.0,17765824892.0,,2067063079.0,2087442574.0,1647099911.0,250376654.6,,3845901869.0,3985646979.0,4002387278.0,4038051395.0,,11765519250.0,12033364043.0,12189121613.0,12157824532.0,,2.176238946,2.168960555,1.659473176,0.13101104,12/31/2024,14.541902545318742,8.826020899961701,-5.393701662471955,18.04788953162983,-3.762831636435592,27.240467257071444,-4.964158898137039,-6.699088979540465,-32.05572304198809,-6.407953065485152
43,43,BEZ.L,Beazley PLC,United Kingdom,Financials,2419.0,USD,63.0,3,0.047619048,,,,,,,,87.0,37.0,65.0,,3284700000.0,51300000.0,669100000.0,1013400000.0,,308700000.0,483300000.0,1026800000.0,1130300000.0,,,,,,,,,,,-0.08,0.503,0.259,1.514,,12/31/2024,-0.2564331550089389,35.14236687572151,-4.39297212210761,11.668352651832372,-34.04911121998205,26.317216251115997,45.97807576046103,-23.218627951357647,56.174055923854446,12.997824264988672
44,44,0371.HK,Beijing Enterprises Water Group Ltd,Hong Kong,Utilities,85870.0,CNY,30.66666667,3,0.097826087,,,,,,,20.0,32.0,40.0,,,3170438210.0,2988987217.0,3411153886.0,3376530208.0,,501196445.7,177250974.8,276618949.8,252001253.5,,800580097.8,513812885.4,762881890.7,704479692.2,,1188301950.0,1177056489.0,1252191576.0,1250570124.0,,0.046817196,0.015734558,0.02533389,0.021744574,12/31/2024,-2.8767254015501944,17.93482566728095,-33.67382667331352,3.57692409608192,-17.66549143460078,1.964777155608682,-29.620097799597445,-4.61920576908342,54.32916712844042,1.125848012361822
45,45,BG,BG Group PLC,United Kingdom,Consumer Staples,23000.0,USD,36.0,1,0.027777778,36.0,,,,,,,,,,,59152000000.0,67232000000.0,59540000000.0,53108000000.0,,2078000000.0,1610000000.0,2243000000.0,1137000000.0,,2129000000.0,2313000000.0,3130000000.0,1617000000.0,,3363000000.0,3682000000.0,4845000000.0,3393000000.0,,13.64,10.51,14.87,7.99,12/31/2024,9.979540574296683,-5.572863000464478,-18.84240862538304,11.551820135819996,17.462406326081442,43.0986569379626,9.089635315680084,3.605985329395598,-21.625036582867438,9.17875129247113
