Year,Ranking,Stock_Performance_Year,Stock_Performance,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Average Rank,Years Appeared,Original Currency,ReportDate_2024,DilutedEPSIncr,OperatingIncomeIncr,TotalRevenueIncr,GrossProfitIncr,NetIncomeIncr,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS
2021,31.0,2020,26.3393366025863,ANA.MC,Acciona SA,Spain,Utilities,66021.0,51.0,5,EUR,2024-12-31,,,,,,,,,,
2025,30.0,2024,-19.8958725230002,ANA.MC,Acciona SA,Spain,Utilities,66021.0,51.0,5,EUR,2024-12-31,22.704714693816484,-7.447774731505791,12.743082073227157,4.975770161890393,-21.996303148062687,22070155784.0,485336411.7,1171937923.0,13951696707.0,11.37435335
2016,5.0,2015,59.0275310671809,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045.0,59.57142857,7,EUR,2024-12-31,,,,,,,,,,
2017,49.0,2016,72.8312007939939,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045.0,59.57142857,7,EUR,2024-12-31,,,,,,,,,,
2019,84.0,2018,10.6347122881799,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045.0,59.57142857,7,EUR,2024-12-31,,,,,,,,,,
2020,55.0,2019,60.4689692560277,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045.0,59.57142857,7,EUR,2024-12-31,,,,,,,,,,
2021,76.0,2020,3.00829499537353,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045.0,59.57142857,7,EUR,2024-12-31,,,,,,,,,,
2022,82.0,2021,-14.7070405880794,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045.0,59.57142857,7,EUR,2024-12-31,,,,,,24420932148.0,2433582576.0,2287521618.0,12380678844.0,12.53594049
2023,66.0,2022,-48.9546082541418,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045.0,59.57142857,7,EUR,2024-12-31,-69.35779815591641,-63.34841628587399,6.013939906549713,-1.124013002465053,-71.0775047232258,25889592332.0,703852805.6,838412900.8,12241518404.0,3.841288188
2016,92.0,2015,31.05915100262,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,92.0,1,USD,2024-11-30,,,,,,,,,,
2019,86.0,2018,-0.707545711804725,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,,,,,,,,,,
2020,50.0,2019,45.3900718504488,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,68.0,2,TWD,2024-12-31,,,,,,,,,,
2016,31.0,2015,10.6961399283816,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,31.0,1,EUR,2024-12-31,,,,,,,,,,
2016,65.0,2015,3.21203281273218,A,Agilent Technologies Inc,USA,Communication Services,18000.0,65.0,1,USD,2024-10-31,,,,,,,,,,
2021,73.0,2020,16.1151654907447,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,,,,,,,,,,
2022,86.0,2021,-26.1612248072974,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,79.5,2,USD,2024-12-31,,,,,,3869625000.0,561945000.0,1056728000.0,1358375000.0,2.1
2018,83.0,2017,23.699813237393,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,,,,,,,,,,
2021,28.0,2020,-0.0079957824667623,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100.0,55.5,2,EUR,2024-12-31,,,,,,,,,,
2020,10.0,2019,39.778032845294,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,,,,,,,,,,
2018,71.0,2017,28.0387529270786,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,,,,,,,,,,
2021,49.0,2020,-2.38296342061113,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,,,,,,,,,,
2022,93.0,2021,7.16240388087856,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,,,,,,136758000000.0,7602070335.0,9502587919.0,21000719301.0,18.20586587
2019,52.0,2018,-0.602073364805915,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,,,,,,,,,,
2020,62.0,2019,30.4234584038915,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,,,,,,,,,,
2021,90.0,2020,28.7627603337696,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,,,,,,,,,,
2022,36.0,2021,66.1369109495377,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,,,,,,257637000000.0,76033000000.0,78714000000.0,146698000000.0,5.61
2023,26.0,2022,-39.1747866444363,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,-18.716577540106965,-4.919074116421475,9.780815643715771,6.772416801865056,-21.12372259413676,282836000000.0,59972000000.0,74842000000.0,156633000000.0,4.56
2019,62.0,2018,1.51339182766736,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,,,,,,,,,,
2021,39.0,2020,19.7344519848264,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,,,,,,,,,,
2022,29.0,2021,-33.9618653125784,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,,,,,,17792984895.0,-668200130.8,143760785.5,1983898839.0,1.081081107
2024,18.0,2023,-47.1354174427687,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,-77.56410258589725,71.03448274021748,6.736536012537784,12.563580870238692,134.0909091897159,20263370232.0,-355376661.7,570442796.7,2545140946.0,-0.402530199
2025,7.0,2024,76.1400621426002,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,131.42857164860817,33.266129031303784,4.937851184399166,4.112065076964896,-148.22006472801533,21263945299.0,171362856.3,760207033.5,2649798798.0,-0.93156989
2017,87.0,2016,9.33528262033747,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,,,,,,,,,,
2018,16.0,2017,42.324028814396,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,,,,,,,,,,
2020,16.0,2019,38.5052605590844,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,,,,,,,,,,
2021,9.0,2020,24.375632276876,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,,,,,,,,,,
2022,6.0,2021,24.23412020472,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,,,,,,3930000000.0,1263000000.0,1196000000.0,2153000000.0,6.95
2018,6.0,2017,50.7407050943436,AMUN.PA,Amundi SA,France,Communication Services,5700.0,45.66666667,3,EUR,2024-12-31,,,,,,,,,,
2019,31.0,2018,-32.1437992424732,AMUN.PA,Amundi SA,France,Communication Services,5700.0,45.66666667,3,EUR,2024-12-31,,,,,,,,,,
2020,100.0,2019,59.479546728026,AMUN.PA,Amundi SA,France,Communication Services,5700.0,45.66666667,3,EUR,2024-12-31,,,,,,,,,,
2017,78.0,2016,37.6457472750788,ADI,Analog Devices Inc,USA,Information Technology,24000.0,60.16666667,6,USD,2024-10-31,,,,,,,,,,
2018,42.0,2017,25.3358493705641,ADI,Analog Devices Inc,USA,Information Technology,24000.0,60.16666667,6,USD,2024-10-31,,,,,,,,,,
2019,17.0,2018,-2.29359824602544,ADI,Analog Devices Inc,USA,Information Technology,24000.0,60.16666667,6,USD,2024-10-31,,,,,,,,,,
2020,82.0,2019,44.3608246827042,ADI,Analog Devices Inc,USA,Information Technology,24000.0,60.16666667,6,USD,2024-10-31,,,,,,,,,,
2021,74.0,2020,24.2146163118303,ADI,Analog Devices Inc,USA,Information Technology,24000.0,60.16666667,6,USD,2024-10-31,,,,,,,,,,
2022,68.0,2021,19.6993378731543,ADI,Analog Devices Inc,USA,Information Technology,24000.0,60.16666667,6,USD,2024-10-31,,,,,,7318286000.0,1390422000.0,1776657000.0,4525012000.0,3.46
2025,90.0,2024,17.7419237484535,AAL.L,Anglo American PLC,United Kingdom,Materials,,90.0,1,USD,2024-12-31,-93.75,-24.48107448107448,-10.968289181782593,-23.213556553695387,-1184.0989399293287,27290000000.0,-3068000000.0,4948000000.0,15044000000.0,0.23
2019,87.0,2018,-3.48294877887454,ANSS,ANSYS; Inc.,USA,Health Care,6600.0,87.0,1,USD,2024-12-31,,,,,,,,,,
2016,84.0,2015,-2.01224910267743,AAPL,Apple Inc,USA,Information Technology,164000.0,71.5,6,USD,2024-09-30,,,,,,,,,,
2017,84.0,2016,15.3853076774262,AAPL,Apple Inc,USA,Information Technology,164000.0,71.5,6,USD,2024-09-30,,,,,,,,,,
2022,48.0,2021,34.2859133006823,AAPL,Apple Inc,USA,Information Technology,164000.0,71.5,6,USD,2024-09-30,,,,,,365817000000.0,94680000000.0,108949000000.0,152836000000.0,5.61
2023,73.0,2022,-26.5117913777779,AAPL,Apple Inc,USA,Information Technology,164000.0,71.5,6,USD,2024-09-30,8.9126559714795,9.626522501353845,7.7937876041846055,11.741997958596142,5.410857625686523,394328000000.0,99803000000.0,119437000000.0,170782000000.0,6.11
2024,71.0,2023,48.6077334829077,AAPL,Apple Inc,USA,Information Technology,164000.0,71.5,6,USD,2024-09-30,0.3273322422258522,-4.300174987650393,-2.8004605303199366,-0.9567753041889661,-2.8135426790777833,383285000000.0,96995000000.0,114301000000.0,169148000000.0,6.13
2025,69.0,2024,35.4184166705051,AAPL,Apple Inc,USA,Information Technology,164000.0,71.5,6,USD,2024-09-30,-0.8156606851549727,7.799581805933456,2.021994077514121,6.819471705252206,-3.3599670086086912,391035000000.0,93736000000.0,123216000000.0,180683000000.0,6.08
2016,56.0,2015,-22.5459702422103,AMAT,Applied Materials Inc,USA,Information Technology,,64.33333333,3,USD,2024-10-31,,,,,,,,,,
2017,94.0,2016,79.1569641128371,AMAT,Applied Materials Inc,USA,Information Technology,,64.33333333,3,USD,2024-10-31,,,,,,,,,,
2018,43.0,2017,59.4166341681549,AMAT,Applied Materials Inc,USA,Information Technology,,64.33333333,3,USD,2024-10-31,,,,,,,,,,
2021,34.0,2020,45.8095394140186,ARCLK.IS,Arcelik AS,Turkey,Consumer Discretionary,53401.0,61.6,5,TRY,2024-12-31,,,,,,,,,,
2022,57.0,2021,71.3643553280702,ARCLK.IS,Arcelik AS,Turkey,Consumer Discretionary,53401.0,61.6,5,TRY,2024-12-31,,,,,,1716605661.0,77155975.29,127203229.1,515561094.2,0.116010621
2023,89.0,2022,139.591723788331,ARCLK.IS,Arcelik AS,Turkey,Consumer Discretionary,53401.0,61.6,5,TRY,2024-12-31,122.30902806735256,65.51895513161938,277.17115701624147,235.3323620516127,105.09515861243932,6474541433.0,158243169.9,210545455.7,1728843195.0,0.257902084
2024,60.0,2023,12.719298245614,ARCLK.IS,Arcelik AS,Turkey,Consumer Discretionary,53401.0,61.6,5,TRY,2024-12-31,213.76415438349073,97.0396644376495,44.34045102202376,58.48116219701463,210.32516430903473,9345382306.0,491068377.0,414858059.4,2739890788.0,0.809204293
2025,68.0,2024,10.1080171510664,ARCLK.IS,Arcelik AS,Turkey,Consumer Discretionary,53401.0,61.6,5,TRY,2024-12-31,-91.34154692380012,-67.06824765617655,15.44839711985989,8.519907217557316,-91.34047546295166,10789094077.0,42524186.6,136620028.7,2973326941.0,0.070064574
2023,33.0,2022,-39.4925128993779,ASM.AS,ASM International NV,Netherlands,Information Technology,4558.0,33.0,1,EUR,2024-12-31,74.91349483103022,29.75212717564556,39.36711197319729,38.007271797209924,-21.345073566974886,2772774074.0,447513524.1,727308815.4,1314411762.0,11.62737233
2016,49.0,2015,-5.69847307333237,ASML.AS,ASML Holding NV,Netherlands,Information Technology,43129.0,72.0,2,EUR,2024-12-31,,,,,,,,,,
2017,95.0,2016,33.5146453666102,ASML.AS,ASML Holding NV,Netherlands,Information Technology,43129.0,72.0,2,EUR,2024-12-31,,,,,,,,,,
2017,56.0,2016,-10.9750810965277,G.MI,Assicurazioni Generali SpA,Italy,Financials,86851.0,72.0,3,EUR,2024-12-31,,,,,,,,,,
2020,69.0,2019,33.629004750047,G.MI,Assicurazioni Generali SpA,Italy,Financials,86851.0,72.0,3,EUR,2024-12-31,,,,,,,,,,
2024,91.0,2023,21.7648559087499,G.MI,Assicurazioni Generali SpA,Italy,Financials,86851.0,72.0,3,EUR,2024-12-31,72.29907801058849,67.65100670723182,67.93561494299652,67.65100670350789,67.65100671501256,61795286109.0,4309373305.0,5386716631.0,11904643755.0,2.794039169
2016,95.0,2015,5.34510363777417,4503.T,Astellas Pharma Inc,Japan,Health Care,13643.0,90.0,2,JPY,2025-03-31,,,,,,,,,,
2017,85.0,2016,-3.51842875055311,4503.T,Astellas Pharma Inc,Japan,Health Care,13643.0,90.0,2,JPY,2025-03-31,,,,,,,,,,
2018,34.0,2017,15.5877328911996,AZN.L,AstraZeneca PLC,United Kingdom,Health Care,94300.0,72.14285714,7,USD,2024-12-31,,,,,,,,,,
2019,50.0,2018,14.2467355448176,AZN.L,AstraZeneca PLC,United Kingdom,Health Care,94300.0,72.14285714,7,USD,2024-12-31,,,,,,,,,,
2020,56.0,2019,30.724981751726,AZN.L,AstraZeneca PLC,United Kingdom,Health Care,94300.0,72.14285714,7,USD,2024-12-31,,,,,,,,,,
2021,82.0,2020,-2.52726624322839,AZN.L,AstraZeneca PLC,United Kingdom,Health Care,94300.0,72.14285714,7,USD,2024-12-31,,,,,,,,,,
2022,91.0,2021,16.8398885029926,AZN.L,AstraZeneca PLC,United Kingdom,Health Care,94300.0,72.14285714,7,USD,2024-12-31,,,,,,37417000000.0,112000000.0,-139000000.0,24980000000.0,0.08
2023,97.0,2022,30.0788617950234,AZN.L,AstraZeneca PLC,United Kingdom,Health Care,94300.0,72.14285714,7,USD,2024-12-31,2537.4999999999995,-3346.043165467626,18.531683459390116,27.942353883106485,2835.714285714286,44351000000.0,3288000000.0,4512000000.0,31960000000.0,2.11
2024,95.0,2023,-6.32460066246218,AZN.L,AstraZeneca PLC,United Kingdom,Health Care,94300.0,72.14285714,7,USD,2024-12-31,80.56872037914692,93.30673758865248,3.2919212644585243,17.468710888610765,81.11313868613139,45811000000.0,5955000000.0,8722000000.0,37543000000.0,3.81
2022,51.0,2021,41.9895115266487,ATEA.OL,Atea ASA,Norway,Information Technology,7894.0,50.25,4,NOK,2024-12-31,,,,,,2820639765.0,75240820.65,103852132.7,836163120.0,0.526685745
2023,49.0,2022,-27.1602581345373,ATEA.OL,Atea ASA,Norway,Information Technology,7894.0,50.25,4,NOK,2024-12-31,25.375939688665778,14.489990440032624,13.709592476088487,6.582997860513144,11.578947364923504,3207337982.0,83952915.67,118900296.8,891207720.3,0.660337202
2024,41.0,2023,18.8280580879406,ATEA.OL,Atea ASA,Norway,Information Technology,7894.0,50.25,4,NOK,2024-12-31,13.193403269743383,3.5803497674700506,7.121029722523331,13.852477249461284,-5.6603773580410754,3435733473.0,79200863.84,123157343.3,1014662067.0,0.747458152
2025,60.0,2024,14.0747431208862,ATEA.OL,Atea ASA,Norway,Information Technology,7894.0,50.25,4,NOK,2024-12-31,-5.430463483660012,-2.6527331724278946,-0.34866295928188257,1.444043339800935,-3.1250000063130625,3423754343.0,76725836.84,119890307.6,1029314227.0,0.70686771
2016,34.0,2015,-1.84570756460135,ATCO-A.ST,Atlas Copco AB,Sweden,Energy,55248.0,34.0,1,SEK,2024-12-31,,,,,,,,,,
2016,67.0,2015,-7.23246915048315,ANZ.AX,Australia & New Zealand Banking Group Ltd,Australia,Financials,43094.0,67.0,1,AUD,2024-09-30,,,,,,,,,,
2017,100.0,2016,23.3294521017736,ADSK,Autodesk Inc,USA,Information Technology,15300.0,32.11111111,9,USD,2025-01-31,,,,,,,,,,
2018,8.0,2017,40.5039551983468,ADSK,Autodesk Inc,USA,Information Technology,15300.0,32.11111111,9,USD,2025-01-31,,,,,,,,,,
2019,48.0,2018,20.7803377444861,ADSK,Autodesk Inc,USA,Information Technology,15300.0,32.11111111,9,USD,2025-01-31,,,,,,,,,,
2020,5.0,2019,46.1839093579979,ADSK,Autodesk Inc,USA,Information Technology,15300.0,32.11111111,9,USD,2025-01-31,,,,,,,,,,
2021,43.0,2020,62.5373175992452,ADSK,Autodesk Inc,USA,Information Technology,15300.0,32.11111111,9,USD,2025-01-31,,,,,,,,,,
2022,3.0,2021,-7.36575415982778,ADSK,Autodesk Inc,USA,Information Technology,15300.0,32.11111111,9,USD,2025-01-31,,,,,,4386000000.0,497000000.0,618000000.0,3968000000.0,2.24
2023,5.0,2022,-33.4342650218867,ADSK,Autodesk Inc,USA,Information Technology,15300.0,32.11111111,9,USD,2025-01-31,68.74999999999997,60.03236245954693,14.113087095303237,14.037298387096776,65.59356136820925,5005000000.0,823000000.0,989000000.0,4525000000.0,3.78
2024,11.0,2023,27.7305644551374,ADSK,Autodesk Inc,USA,Information Technology,15300.0,32.11111111,9,USD,2025-01-31,10.846560846560863,14.054600606673407,9.83016983016983,10.187845303867404,10.08505467800729,5497000000.0,906000000.0,1128000000.0,4986000000.0,4.19
2025,66.0,2024,23.5641044375708,ADSK,Autodesk Inc,USA,Information Technology,15300.0,32.11111111,9,USD,2025-01-31,22.19570405727923,21.365248226950353,11.533563762052028,11.371841155234657,22.737306843267106,6131000000.0,1112000000.0,1369000000.0,5553000000.0,5.12
2016,79.0,2015,6.24551621149104,AV.L,Aviva PLC,United Kingdom,Financials,29091.0,79.0,1,GBP,2024-12-31,,,,,,,,,,
2018,85.0,2017,8.07207544316559,CS.PA,AXA SA,France,Financials,100041.0,85.0,1,EUR,2024-12-31,,,,,,,,,,
2016,75.0,2015,-30.4975996740282,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,22.55555556,9,BRL,2024-12-31,,,,,,,,,,
2018,49.0,2017,14.639362264423,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,22.55555556,9,BRL,2024-12-31,,,,,,,,,,
2019,8.0,2018,48.7880839547977,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,22.55555556,9,BRL,2024-12-31,,,,,,,,,,
2020,9.0,2019,18.6841792431629,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,22.55555556,9,BRL,2024-12-31,,,,,,,,,,
2021,3.0,2020,-24.7762558012889,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,22.55555556,9,BRL,2024-12-31,,,,,,,,,,
2022,21.0,2021,-25.2323908309531,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,22.55555556,9,BRL,2024-12-31,,,,,,18080704080.0,3571760056.0,4464700070.0,9866987155.0,0.621556932
2023,15.0,2022,19.9755859737816,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,22.55555556,9,BRL,2024-12-31,57.871720108175076,57.84681612442558,23.524265676715835,57.84681611861286,57.84681612442558,22334056944.0,5637909528.0,7047386910.0,15574725071.0,0.98126262
2024,6.0,2023,61.864399221989,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,22.55555556,9,BRL,2024-12-31,-3.4164358568962916,-4.0218155838417,1.7993567268483275,-4.021815583546489,-4.0218155838417,22735926300.0,5411163204.0,6763954005.0,14948338351.0,0.947738412
2025,17.0,2024,-12.3004334373724,BBAS3.SA,Banco do Brasil SA,Brazil,Financials,,22.55555556,9,BRL,2024-12-31,-11.663479880142278,-11.728036935401958,12.987985011193496,-11.728036935173598,-11.728036931705894,25688865000.0,4776539985.0,5970674981.0,13195191708.0,0.837199133
2017,60.0,2016,146.661127435543,BSBR,Banco Santander Brasil SA,Brazil,Financials,55303.0,68.0,2,BRL,2024-12-31,,,,,,,,,,
2018,76.0,2017,5.26943633301949,BSBR,Banco Santander Brasil SA,Brazil,Financials,55303.0,68.0,2,BRL,2024-12-31,,,,,,,,,,
2019,63.0,2018,-16.5095217093254,BAC,Bank of America Corp,USA,Financials,213000.0,63.0,1,USD,2024-12-31,,,,,,,,,,
2024,94.0,2023,14.6137173936348,3988.HK,Bank of China Ltd,China,Financials,312757.0,94.0,1,CNY,2024-12-31,2.777778637453713,2.375928169462738,6.3623397095250445,2.3759281699479087,2.3759281681934574,86522538037.0,32262660166.0,40328325208.0,89125598710.0,0.102949361
2016,86.0,2015,-0.0849122825881909,BMO.TO,Bank of Montreal,Canada,Financials,53597.0,70.28571429,7,CAD,2024-10-31,,,,,,,,,,
2017,61.0,2016,31.0631286320638,BMO.TO,Bank of Montreal,Canada,Financials,53597.0,70.28571429,7,CAD,2024-10-31,,,,,,,,,,
2020,48.0,2019,18.415237388573,BMO.TO,Bank of Montreal,Canada,Financials,53597.0,70.28571429,7,CAD,2024-10-31,,,,,,,,,,
2021,47.0,2020,0.70749974460278,BMO.TO,Bank of Montreal,Canada,Financials,53597.0,70.28571429,7,CAD,2024-10-31,,,,,,,,,,
2022,80.0,2021,45.9698311918152,BMO.TO,Bank of Montreal,Canada,Financials,53597.0,70.28571429,7,CAD,2024-10-31,,,,,,19585422672.0,5643664477.0,7054580596.0,15590623117.0,8.42837692
2023,88.0,2022,-7.71902940708398,BMO.TO,Bank of Montreal,Canada,Financials,53597.0,70.28571429,7,CAD,2024-10-31,72.6252158404895,74.58086148995497,-2.415548701312194,74.5808614943764,74.58086148022439,19112327249.0,9852758063.0,12315947579.0,27218244150.0,14.54950385
2025,82.0,2024,11.9230571136053,BMO.TO,Bank of Montreal,Canada,Financials,53597.0,70.28571429,7,CAD,2024-10-31,65.1041666613246,65.37853107557943,2.9760565644312544,65.37853107596857,65.37853107557943,23320692997.0,5326326624.0,6657908280.0,14713977299.0,6.921749958
2020,87.0,2019,16.4354248902404,BAS.DE,BASF SE,Germany,Information Technology,111408.0,87.0,1,EUR,2024-12-31,,,,,,,,,,
2016,1.0,2015,13.3247480914017,BMW.DE,Bayerische Motoren Werke AG,Germany,Consumer Discretionary,159104.0,33.25,4,EUR,2024-12-31,,,,,,,,,,
2017,16.0,2016,-2.15799493687391,BMW.DE,Bayerische Motoren Werke AG,Germany,Consumer Discretionary,159104.0,33.25,4,EUR,2024-12-31,,,,,,,,,,
2018,17.0,2017,2.26135130612292,BMW.DE,Bayerische Motoren Werke AG,Germany,Consumer Discretionary,159104.0,33.25,4,EUR,2024-12-31,,,,,,,,,,
2019,99.0,2018,-14.8705307368955,BMW.DE,Bayerische Motoren Werke AG,Germany,Consumer Discretionary,159104.0,33.25,4,EUR,2024-12-31,,,,,,,,,,
2023,42.0,2022,-4.96415889813703,BCE.TO,BCE Inc,Canada,Communication Services,40390.0,42.33333333,3,CAD,2024-12-31,-0.3344481548488853,3.6336109126033453,3.09181627975646,2.276523350212529,0.985915485939556,17594782700.0,2087442574.0,3985646979.0,12033364043.0,2.168960555
2024,51.0,2023,-6.69908897954046,BCE.TO,BCE Inc,Canada,Communication Services,40390.0,42.33333333,3,CAD,2024-12-31,-23.489932900139802,0.420014594574057,2.0642012077818954,1.294380934902461,-21.0948396130585,17957974417.0,1647099911.0,4002387278.0,12189121613.0,1.659473176
2025,34.0,2024,-32.055723041988,BCE.TO,BCE Inc,Canada,Communication Services,40390.0,42.33333333,3,CAD,2024-12-31,-92.10526317058108,0.8910711163818564,-1.0699955381276227,-0.2567623984210715,-84.79893946154188,17765824892.0,250376654.6,4038051395.0,12157824532.0,0.13101104
2023,87.0,2022,45.978075760461,BEZ.L,Beazley PLC,United Kingdom,Financials,2419.0,63.0,3,USD,2024-12-31,-728.75,56.559766763848394,-98.43821353548269,56.559766763848394,56.559766763848394,51300000.0,483300000.0,604125000.0,1335116250.0,0.503
2024,37.0,2023,-23.2186279513576,BEZ.L,Beazley PLC,United Kingdom,Financials,2419.0,63.0,3,USD,2024-12-31,-48.508946322067594,112.45603145044485,1204.288499025341,112.45603145044485,112.45603145044485,669100000.0,1026800000.0,1283500000.0,2836535000.0,0.259
2025,65.0,2024,56.1740559238544,BEZ.L,Beazley PLC,United Kingdom,Financials,2419.0,63.0,3,USD,2024-12-31,484.5559845559845,10.079859758472926,51.45718128829772,10.079859758472926,10.079859758472926,1013400000.0,1130300000.0,1412875000.0,3122453750.0,1.514
2022,20.0,2021,1.96477715560868,0371.HK,Beijing Enterprises Water Group Ltd,Hong Kong,Utilities,85870.0,30.66666667,3,CNY,2024-12-31,,,,,,3170438210.0,501196445.7,800580097.8,1188301950.0,0.046817196
2023,32.0,2022,-29.6200977995974,0371.HK,Beijing Enterprises Water Group Ltd,Hong Kong,Utilities,85870.0,30.66666667,3,CNY,2024-12-31,-66.39149854254407,-35.81992772341436,-5.723214930594721,-0.9463470963756307,-64.63443100590209,2988987217.0,177250974.8,513812885.4,1177056489.0,0.015734558
2024,40.0,2023,-4.61920576908342,0371.HK,Beijing Enterprises Water Group Ltd,Hong Kong,Utilities,85870.0,30.66666667,3,CNY,2024-12-31,61.00795459268702,48.474651449447684,14.124070742052961,6.38330341000312,56.06060847457748,3411153886.0,276618949.8,762881890.7,1252191576.0,0.02533389
2016,36.0,2015,-22.9843538291259,BG,BG Group PLC,United Kingdom,Consumer Staples,23000.0,36.0,1,USD,2024-12-31,,,,,,,,,,
2016,30.0,2015,-10.0630032576473,BIIB,Biogen Inc,USA,Information Technology,7605.0,63.5,2,USD,2024-12-31,,,,,,,,,,
